MW_API,melting.point_API,XLogP3_API,Hydrogen.Bond.Donor.Count_API,Hydrogen.Bond.Acceptor.Count_API,Rotatable.Bond.Count_API,Topological.Polar.Surface.Area_API,Heavy.Atom.Count_API,Complexity_API,logS_API,logP_API,Pka,N.of.repeat.units_polymer,Monomer.Weight_polymer,Hydrogen.Bond.Donor.Count_polymer,Hydrogen.Bond.Acceptor.Count_polymer,Rotatable.Bond.Count_polymer,Complexity_polymer,Topological.Polar.Surface.Area_polymer,technich,Drug.loading.ratio,Dose.mg.,dissolution.method,surfactant,pH.1.2_simulated.gastric.fluid,pH.4.5_buffer.solution,pH.6.8_PBS,pH.6.5_FaSSIF,pH.6.8_SIF,water,pH.7.4_PBS,rotation.speed.rpm.,volume.ml,X5min,X15min,X30min,X60min
0.265141578,0.371523333,0.900990099,0.052631579,0.24,0.363636364,0.130600572,0.261363636,0.22249911,0.04,0.527302363,0.942001871,0.074477546,0.277919816,0.166666667,0.375,0.148148148,0.418478261,0.283562541,0.5,0.081632653,0.216076148,0,0,0,0,1,0,0,0,0,0.5,0.166666667,0.3563,0.6781,0.3925,0.2246
0.265141578,0.371523333,0.900990099,0.052631579,0.24,0.363636364,0.130600572,0.261363636,0.22249911,0.04,0.527302363,0.942001871,0.01934193,0.501954454,1,1,0.148148148,0.383152174,1,0.5,0.081632653,0.216076148,0,0,0,0,1,0,0,0,0,0.5,0.166666667,0.2983,0.7602,0.8925,0.7898
0.064951191,0.503333333,0.772277228,0.105263158,0.08,0.136363636,0.081601525,0.056818182,0.052331791,0.38,0.41401793,0.480823199,0.049911072,0.10987033,0,0,0.037037037,0.309782609,0,1,0.234693878,0.088098977,0,0,0,0,0,0,0,0,1,0.5,0.888888889,0.3453,0.6867,0.8314,0.9458
0.123681347,0.78,0.514851485,0.105263158,0.2,0.090909091,0.165109628,0.136363636,0.161623354,0.48,0.161369193,0.481758653,0.007003112,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.15,0.375378251,0,0,0,0,0,0,0,0,1,0.1,0.666666667,0.336,0.3459,0.3741,0.3668
0.057520751,0.53,0.425742574,0.052631579,0.04,0,0.108484271,0.068181818,0.082235671,0.58,0.179299104,0.915809167,0.20042241,0.022376598,0.166666667,0.125,0.037037037,0.135597826,0.111329404,0.5,0.183673469,0.038303903,0,0,0,0,0,0,0,1,0,0.5,0.888888889,0.1265,0.2405,0.3574,0.5786
0.058310486,0.37,0.346534653,0.105263158,0.2,0.136363636,0.191611058,0.045454545,0.069419722,0.68,0.100244499,0.58746492,0.014228546,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.030612245,0.288236871,1,0,0,0,0,0,0,0,1,0.5,1,0.2551,0.7208,0.9722,0.9944
0.244637596,0.72,0.752475248,0.105263158,0.24,0.318181818,0.178265014,0.227272727,0.22748309,0,0.439282804,0.634705332,0.074477546,0.277919816,0.166666667,0.375,0.148148148,0.418478261,0.283562541,0.5,0.387755102,0.015321561,0,0,0,0,1,0,0,0,0,0.25,0.444444444,0.077,0.183,0.2548,0.3413
0.092265162,0.4,0.633663366,0,0.08,0,0.070352717,0.102272727,0.149519402,0.324,0.372453138,0.070159027,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,0.5,0.091836735,0.011491171,0,0,0,0,0,0,0,1,0,0.5,0.888888889,0.1096,0.1507,0.1589,0.1606
0.29249413,0.371523333,0.920792079,0,0.2,0.590909091,0.136129647,0.295454545,0.23994304,0.3482,0.600651997,0.689429373,0.01067141,0,0.333333333,0.125,0.037037037,0,0.132285527,0,0.693877551,0.279618493,0,0,1,0,0,0,0,0,0,0.5,1,0.4009,0.4581,0.5013,0.5505
0.122972711,0.04,0.772277228,0.052631579,0.08,0.363636364,0.068446139,0.136363636,0.079743681,0.3482,0.329747351,0.467726848,0,1,0.666666667,0.875,1,0.83423913,0.692206942,0,0.285714286,0.758417283,0,0,1,0,0,0,0,0,0,0,0.888888889,0.089,0.2535,0.4486,0.6822
